Bins0,Bins1,Bins2,Bins3,Bins4,Bins5,Bins6,Bins7
3663,0,0,0,0,6,0,11698
3645,0,0,0,0,0,0,10987
2889,0,0,0,0,0,0,10627
2940,0,0,0,0,0,0,9604
3435,0,0,0,0,0,0,9790
3699,0,0,0,0,0,0,11305
3039,0,0,0,0,0,0,9823
3852,0,0,0,0,0,0,11488
3465,0,0,0,0,0,0,11095
4086,0,0,0,0,0,0,10519
7620,0,0,0,0,0,0,17482
3123,0,0,0,0,0,0,12244
5397,0,0,0,0,0,0,8155
4860,0,0,0,0,0,0,12322
8700,0,0,0,0,0,0,12880
3669,0,0,0,0,0,0,11698
3393,0,0,0,0,0,0,12355
4245,0,0,0,0,0,0,13045
7062,0,0,0,0,0,0,13954
2709,0,0,0,0,0,0,8791
3711,0,0,0,0,0,0,12799
8445,0,0,0,0,0,0,15190
1530,0,0,0,0,0,0,6478
2931,0,0,0,0,0,0,10639
3201,0,0,0,0,0,0,8335
2997,0,0,0,0,0,0,11227
2808,0,0,0,0,0,0,11470
3210,0,0,0,0,0,0,10006
3078,0,0,0,0,0,0,11200
3393,0,0,0,0,0,0,12337
2538,0,0,0,0,0,0,11014
4092,0,0,0,0,0,0,11275
4362,0,0,0,0,0,0,12820
5706,0,0,0,0,0,0,11530
3582,0,0,0,0,0,0,7618
4095,0,0,0,0,0,0,13975
4722,0,0,0,0,0,0,14455
4253,0,0,0,6,3,0,13028
4263,0,0,0,0,0,0,13009
3867,0,0,0,0,0,0,12625
4848,0,0,0,0,0,0,12424
3102,0,0,0,0,0,0,10822
3204,0,0,0,0,0,0,8032
4113,0,0,0,0,0,0,12016
5154,0,0,0,0,0,0,12499
2601,0,0,0,0,0,0,8317
2403,0,0,0,0,0,0,9151
2313,0,0,0,0,0,0,9568
4581,0,0,0,0,0,0,11821
3525,0,0,0,0,0,0,12481
2667,0,0,0,0,0,0,8707
1926,0,0,0,0,0,0,6574
3480,0,0,0,0,0,0,10003
3771,0,0,0,0,0,0,11923
2952,0,0,0,0,0,0,11545
3843,0,0,0,0,0,0,11161
3993,0,0,0,0,0,0,10993
5829,0,0,0,0,0,0,11716
3357,0,0,0,0,0,0,10867
3660,0,0,0,0,0,0,11707
3084,0,0,0,0,0,0,8152
2844,0,0,0,0,0,0,9364
3360,0,0,0,0,0,0,8086
12450,0,0,0,0,0,0,15025
6045,0,0,0,0,0,0,11773
3516,0,0,0,0,0,0,12613
4923,0,0,0,0,0,0,12730
6303,0,0,0,0,0,0,13852
5460,0,0,0,0,0,0,10996
6158,0,0,0,0,0,0,11114
5160,0,0,0,0,0,0,11332
14097,0,0,0,0,0,0,19678
17604,0,0,0,0,0,0,19720
10899,0,0,0,0,0,0,12493
4281,0,0,0,0,0,0,13399
5025,0,0,0,0,0,0,13045
4929,0,0,0,0,0,0,13531
6375,0,0,0,0,0,0,18193
3762,0,0,0,0,0,0,11986
4080,0,0,0,0,0,0,12250
4263,0,0,0,0,0,0,9652
3531,0,0,0,0,0,0,10357
4725,0,0,0,0,0,0,10645
3141,0,0,0,0,0,0,10429
4095,0,0,0,0,0,0,13594
3618,0,0,0,0,0,0,10660
2232,0,0,0,0,0,0,8668
2403,0,0,0,0,0,0,8515
3408,0,0,0,0,0,0,12286
3105,0,0,0,0,0,0,10903
2448,0,0,0,0,0,0,8779
2907,0,0,0,0,0,0,11653
3426,0,0,0,0,0,0,11950
3258,0,0,0,0,0,0,11002
3429,0,0,0,0,0,0,13807
4590,0,0,0,0,0,0,9970
5469,0,0,0,0,0,0,11767
4290,0,0,0,0,0,0,14125
2592,0,0,0,0,0,0,7981
4968,0,0,0,0,0,0,13384
3969,0,0,0,0,0,0,14518
2613,0,0,0,0,0,0,7687
2655,0,0,0,0,0,0,9880
2556,0,0,0,0,0,0,10834
2412,0,0,0,0,0,0,9778
3555,0,0,0,0,0,0,11341
3564,0,0,0,0,0,0,11068
3285,0,0,0,0,0,0,11701
2817,0,0,0,0,0,0,11107
3264,0,0,0,0,0,0,10906
6987,0,0,0,0,0,0,17191
3114,0,0,0,0,0,0,13006
3675,0,0,0,0,0,0,11665
6648,0,0,0,0,0,0,13672
2727,0,0,0,0,0,0,9103
3726,0,0,0,0,0,0,11260
3339,0,0,0,0,0,0,11611
3546,0,0,0,0,0,0,11014
3978,0,0,0,0,0,0,11770
7263,0,0,0,0,0,0,21427
3975,0,0,0,0,0,0,13570
6537,0,0,0,0,0,0,12784
3990,0,0,0,0,0,0,9925
7230,0,0,0,0,0,0,14938
9435,0,0,0,0,0,0,14890
4698,0,0,0,0,0,0,12193
5124,0,0,0,0,0,0,9436
3462,0,0,0,0,0,0,10108
3084,0,0,0,0,0,0,8797
2730,0,0,0,0,0,0,7798
7656,0,0,0,0,0,0,10870
2985,0,0,0,0,0,0,7015
10905,0,0,0,0,0,0,13003
4734,0,0,0,0,0,0,13681
3129,0,0,0,0,0,0,7789
7863,0,0,0,0,0,0,17593
5127,0,0,0,0,0,0,12943
5205,0,0,0,0,0,0,12484
4092,0,0,0,0,0,0,9751
2994,0,0,0,0,0,0,6652
2034,0,0,0,0,0,0,7375
2277,0,0,0,0,0,0,5713
2916,0,0,0,0,0,0,5038
2892,0,0,0,0,0,0,7390
5319,0,0,0,0,0,0,13777
3822,0,0,0,0,0,0,11164
3123,0,0,0,0,0,0,9412
4545,0,0,0,0,0,0,12745
3798,0,0,0,0,0,0,10834
3081,0,0,0,0,0,0,8473
2748,0,0,0,0,0,0,6079
3498,0,0,0,0,0,0,9691
5124,0,0,0,0,0,0,15004
7761,0,0,0,0,0,0,14317
6252,0,0,0,0,0,0,14737
6606,0,0,0,0,0,0,15562
6213,0,0,0,0,0,0,7957
10617,0,0,0,0,0,0,18397
6617,10,0,0,0,4,0,17937
4377,0,0,0,0,0,0,12913
8914,0,0,0,2,582,3,13699
5739,0,0,0,0,0,0,15613
6237,0,0,0,0,0,0,15664
7209,0,0,0,0,0,0,17803
4245,0,0,0,0,0,0,11995
4626,0,0,0,0,0,0,14278
3252,0,0,0,0,0,0,11008
3129,0,0,0,0,0,0,8743
3198,0,0,0,0,0,0,9946
3978,0,0,0,0,0,0,11752
5799,0,0,0,0,0,0,10777
7053,0,0,0,0,0,0,11299
3339,0,0,0,0,0,0,8533
3159,0,0,0,0,0,0,10393
4851,0,0,0,0,3,0,13054
2256,8,0,0,0,4,0,7432
6759,0,0,0,0,0,0,17401
3690,0,0,0,0,0,0,9190
5256,0,0,0,0,0,0,14056
3552,0,0,0,0,0,0,10372
4344,0,0,0,0,0,0,12166
5010,0,0,0,0,0,0,17338
4476,0,0,0,0,0,0,12814
4134,0,0,0,0,0,0,11914
4557,0,0,0,0,0,0,9703
6750,0,0,0,0,0,0,13405
3975,0,0,0,0,0,0,11320
5709,0,0,0,0,0,0,13651
3909,0,0,0,0,0,0,12847
4263,0,0,0,0,0,0,12193
4356,0,0,0,0,0,0,12154
4662,0,0,0,0,0,0,14650
3732,0,0,0,0,0,0,12016
4320,0,0,0,0,0,0,13288
4731,0,0,0,0,0,0,12133
6261,0,0,0,0,0,0,16315
5373,0,0,0,0,0,0,13867
4791,0,0,0,0,0,0,12889
7596,0,0,0,0,0,0,12994
3867,0,0,0,0,0,0,12037
4533,0,0,0,0,0,0,12358
4317,0,0,0,0,0,0,13363
4569,0,0,0,0,0,0,13501
4377,0,0,0,0,0,0,10999
4968,0,0,0,0,0,0,13102
4128,0,0,0,0,0,0,9061
6564,0,0,0,0,0,0,15406
4053,0,0,0,0,0,0,13555
4728,0,0,0,0,0,0,14158
7894,84,0,0,0,375,0,9735
6156,0,0,0,0,265,0,16371
3054,0,0,0,0,0,0,10870
4920,0,0,0,0,0,0,9004
5181,0,0,0,0,178,0,13953
4428,0,0,0,0,219,0,12643
4463,4,0,0,15,221,0,11390
4229,43,0,3,1,36,0,11382
2553,49,0,0,0,75,0,9195
4444,11,0,0,15,74,0,11186
4259,2,0,0,9,103,0,9179
2938,0,0,0,69,297,0,6816
6505,15,0,0,0,161,0,14671
3186,0,0,0,0,0,0,8968
6876,0,0,0,0,153,0,14251
4968,0,0,0,0,0,0,11488
5958,0,0,0,0,0,0,14632
5532,0,0,0,0,0,1,10959
4506,0,0,0,0,59,0,10040
3832,0,0,0,2,127,0,12024
4395,0,0,0,0,103,0,12792
5733,0,0,0,0,125,0,15584
5253,0,0,0,0,42,0,12775
5550,0,0,0,0,229,0,11241
4275,17,0,0,0,14,0,10680
3654,0,0,0,0,140,0,9068
5976,0,0,0,0,99,0,9292
5991,0,0,0,0,0,0,12079
5343,0,0,0,0,66,0,14275
7761,0,0,0,0,104,0,15371
1593,0,0,0,0,0,0,1423
3702,0,0,0,0,111,0,3487
8766,0,0,0,0,115,0,17607
6033,0,0,0,0,675,0,14644
4743,0,0,0,22,218,0,10585
3252,0,0,0,1,164,0,11953
2922,0,0,0,0,188,0,8690
3852,0,0,0,0,93,0,9943
5367,0,0,0,0,133,0,10593
4171,1,0,0,5,210,0,13884
6432,0,0,0,0,121,0,10236
3510,0,0,0,1,133,17,7839
5694,0,0,0,6,77,0,9701
5619,0,0,0,0,70,0,11583
3414,1,0,0,0,121,0,8927
4863,1,0,0,0,75,0,7569
3858,6,0,0,0,10,0,10350
4156,0,1,0,26,138,7,9371
5550,0,0,0,44,95,0,15501
9825,0,0,0,0,89,0,12380
4101,0,0,0,77,79,0,11491
3546,0,0,0,8,172,0,12403
4413,0,0,0,0,197,0,10286
5016,0,0,0,0,166,0,10680
2955,0,0,0,49,154,0,10766
3969,0,0,0,94,86,0,11581
4312,0,0,0,15,337,0,13751
4580,2,1,0,0,106,0,11767
6018,0,0,0,0,410,0,14561
4944,0,0,0,10,146,0,12589
22491,0,0,0,0,91,0,15138
3389,1,0,0,1,152,0,12097
3585,0,0,0,0,362,0,11801
3819,0,0,0,0,163,0,11313
2502,0,0,0,58,58,0,7955
2539,0,0,0,69,37,0,10571
2818,0,0,0,14,98,0,8624
4613,0,0,0,67,41,0,12143
3788,8,0,0,72,225,0,11637
5433,0,0,0,52,67,0,12128
3900,0,0,0,4,151,0,16109
4344,0,0,0,0,138,0,10894
5766,0,0,0,35,44,0,15615
5892,0,0,0,0,0,0,14194
3756,0,0,0,0,0,0,9325
4170,0,0,0,29,115,0,12016
6723,0,0,0,60,42,0,15343
4665,0,0,0,10,76,0,11741
3727,0,0,0,77,78,0,12982
1530,0,0,0,0,0,0,5332
3408,0,0,0,0,0,0,10372
4213,0,0,0,35,99,0,12517
5115,0,0,0,3,125,0,12929
4368,0,0,0,73,58,0,10868
5409,0,0,0,0,97,0,12909
4051,1,0,0,24,91,0,12589
9804,0,0,0,0,201,0,18331
7479,14,0,0,0,63,0,15590
4128,9,0,0,2,63,0,11927
8559,0,0,0,0,99,3,9409
4527,0,0,0,0,0,0,10105
5308,6,0,0,14,64,0,14772
5095,2,0,0,4,138,0,12831
7437,0,0,0,0,0,0,11659
8934,0,0,0,0,0,0,8974
7272,0,0,0,0,153,0,14479
6264,0,0,0,2,356,0,12690
5349,1,0,0,34,48,0,14156
8260,0,0,0,32,71,0,15557
5326,0,0,0,1,78,0,13055
5840,0,0,0,33,37,0,18730
4254,0,0,0,0,0,0,10006
7776,86,0,0,0,157,0,12970
7053,0,0,0,0,0,0,15739
6141,13,0,0,0,20,0,13981
6848,0,0,0,35,46,0,17813
5389,1,0,0,46,78,0,15928
9228,0,0,0,0,4,0,10932
6115,0,0,0,57,55,0,15215
6195,0,0,0,106,127,0,16373
7496,8,1,0,2,311,2,10160
5024,1,0,0,27,158,0,14474
5538,0,0,0,0,256,0,12186
3069,0,0,0,0,276,0,8845
9255,0,0,0,17,126,0,16595
2085,0,0,0,0,0,0,5296
8322,0,0,0,78,52,0,17112
12705,0,0,0,0,23,0,10979
5274,0,0,0,0,0,0,11590
2295,0,0,0,0,0,0,3937
5046,0,0,0,0,0,0,9940
3327,0,0,0,0,0,0,7591
2514,0,0,0,0,0,0,8095
4458,0,0,0,0,159,0,9298
5619,0,0,0,0,174,0,12295
2097,0,0,0,0,0,0,5803
7041,0,0,0,0,0,0,12271
10005,0,0,0,0,68,0,11465
6909,0,0,0,4,194,0,13882
4692,0,0,0,49,68,0,13171
8055,1,0,0,2,239,0,16271
5186,0,0,0,4,275,0,8543
5018,3,0,0,0,134,0,12135
4803,0,0,0,0,62,0,5873
5928,0,0,0,0,208,0,10374
4245,0,0,0,0,0,0,8290
7239,0,0,0,0,245,0,11240
4509,3,0,0,3,177,0,11800
3535,0,0,0,177,114,0,13038
4404,0,0,0,0,151,0,11139
3288,0,0,0,198,2409,5,6962
3923,14,0,0,118,520,1,11934
5980,28,0,0,1,279,7,14895
5178,0,0,0,17,115,0,14320
4350,11,0,0,0,567,0,13559
8895,0,0,0,2,172,0,15436
4617,0,0,0,0,198,0,8737
4968,1,0,0,101,269,0,13148
14154,0,0,0,0,111,0,13771
5778,51,0,0,0,435,0,13366
6193,19,0,0,0,84,0,15527
4958,22,0,0,0,27,0,11503
4153,12,0,0,5,146,0,12866
6495,2,0,0,0,43,0,11068
5652,2,0,0,0,211,0,11407
5031,2,1,0,5,300,2,11550
6615,0,0,0,16,158,0,13801
3264,0,0,0,31,278,15,10336
3882,1,0,0,0,460,0,9917
3884,1,0,0,37,241,0,11531
7386,0,0,0,0,248,0,8822
4904,15,0,0,23,347,0,13888
3720,3,7,0,0,680,16,7893
4245,1,0,0,30,375,0,13029
4109,60,0,0,4,336,0,13978
3546,2,0,0,0,529,0,11653
5473,8,0,0,46,467,0,14542
3713,18,5,0,0,145,19,10417
3420,0,0,0,0,128,0,11456
4223,69,0,0,0,240,0,12359
4422,0,0,0,21,1021,4,9137
5373,22,0,0,2,416,0,11297
4026,50,0,0,50,267,0,13287
8694,0,0,0,0,162,0,13492
4226,1,0,0,15,519,9,8446
4229,0,0,0,39,46,0,12586
4951,2,0,0,1,238,0,10175
5472,0,0,0,0,584,0,12404
3106,28,0,0,0,435,0,10709
3993,0,0,0,0,59,0,10445
7179,0,0,0,0,575,0,18656
2965,1,0,0,57,664,0,9502
4003,3,0,7,99,115,0,12283
3948,23,0,0,131,827,1,13104
2467,10,0,0,0,204,0,9527
5064,20,3,0,1,50,2,12150
10681,3,0,0,5,33,5,15308
3248,0,0,0,162,524,0,11814
3271,7,0,0,2,431,0,9505
11148,0,0,0,0,536,0,13907
3963,0,0,0,0,134,0,10799
6042,0,0,0,0,294,1,9711
2932,0,0,0,15,413,0,10528
3606,0,0,0,0,457,0,9153
3976,11,0,0,11,40,0,12418
4515,0,0,0,30,59,0,15524
3427,0,0,0,6,630,0,12030
6099,0,0,0,0,75,0,12418
6543,0,0,0,0,0,0,6973
3015,0,0,0,0,36,0,5689
6441,0,0,0,0,0,0,10849
2898,0,0,0,0,0,0,9964
8523,0,0,0,0,117,0,14713
12510,0,0,0,0,0,0,12382
14895,0,0,0,0,0,0,18139
10596,0,0,0,0,196,0,14808
8313,0,0,0,0,99,0,10828
7452,0,0,0,0,190,0,14652
12588,0,1,0,1,46,0,22714
7033,12,0,0,0,110,0,16081
11223,0,0,0,0,126,0,14461
9666,0,0,0,0,104,0,16574
5490,0,0,0,0,137,0,11237
5824,6,0,0,1,153,0,11288
11907,0,0,0,0,233,0,20174
5576,23,0,0,43,1176,3,14060
3420,0,0,0,0,0,0,8380
6163,2,0,0,3,20,3,13937
7020,0,0,0,0,232,0,16428
6078,0,0,0,0,187,0,10245
5211,0,0,0,0,516,0,12865
12810,0,0,0,0,195,0,16891
5703,2,0,0,13,318,0,11617
7145,8,0,0,32,93,0,16438
5751,0,0,0,0,207,0,14986
3984,0,0,0,0,142,0,10506
4689,0,0,0,0,192,0,11983
3678,1,0,0,0,376,0,10043
5508,0,0,0,37,184,0,17906
6990,0,0,0,0,560,0,13532
3640,0,0,0,12,390,0,10563
4263,0,0,0,0,472,0,10251
5827,0,0,0,16,191,1,9950
5505,0,0,0,1,396,2,10588
2796,0,0,0,0,350,0,8081
6736,20,0,0,0,90,0,13282
5413,1,0,0,1,318,0,14857
6200,0,0,0,16,549,0,14587
5811,0,0,0,0,180,0,13639
5250,0,0,0,0,329,0,12401
8358,0,0,0,0,78,0,13858
17043,0,0,0,0,111,0,14449
12894,0,0,0,0,135,0,19171
15969,0,0,0,0,175,0,23313
6940,0,0,0,0,197,0,16543
5084,24,0,0,0,84,0,14129
5515,0,0,0,77,95,0,15257
6369,0,0,0,0,0,0,11311
5058,0,0,0,35,130,0,13681
6690,21,0,0,5,283,0,16681
6588,0,0,0,0,0,0,11482
5564,9,0,0,1,50,2,9360
